Timestamp,Acc_X1,Acc_Y1,Acc_Z1,Lin_X1,Lin_Y1,Lin_Z1,Gyr_X1,Gyr_Y1,Gyr_Z1,Euler_X1,Euler_Y1,Euler_Z1,Quat_W1,Quat_X1,Quat_Y1,Quat_Z1,Acc_X2,Acc_Y2,Acc_Z2,Lin_X2,Lin_Y2,Lin_Z2,Gyr_X2,Gyr_Y2,Gyr_Z2,Euler_X2,Euler_Y2,Euler_Z2,Quat_W2,Quat_X2,Quat_Y2,Quat_Z2
5988.0,-0.24,9.42,-0.45,-0.27,9.38,-10.15,0.88,1.44,-2.56,0.25,-0.06,-0.13,1.0,0.0,0.0,0.0,-1.26,9.22,-1.37,-0.09,-0.39,0.11,-1.31,0.31,-0.88,359.25,-6.81,-98.81,0.65,0.75,0.1,0.0
6043.0,-0.06,9.39,-0.23,0.26,-0.4,0.09,-0.5,-3.94,-0.06,0.25,-1.88,-91.94,0.7,0.72,0.02,0.0,-1.25,9.26,-1.35,-0.07,-0.36,0.12,-0.31,-5.0,-0.44,359.44,-6.88,-98.75,0.65,0.75,0.1,0.0
6095.0,-0.15,9.38,-0.3,0.16,-0.41,0.02,-0.88,-3.06,1.13,0.31,-1.81,-91.88,0.7,0.72,0.02,0.0,-1.09,9.23,-1.4,0.07,-0.41,0.13,-0.69,-4.31,-0.88,359.75,-6.94,-98.69,0.65,0.75,0.09,0.0
6151.0,-0.11,9.4,-0.29,0.24,-0.4,0.03,-1.5,-5.0,2.25,0.44,-1.69,-91.81,0.7,0.72,0.02,0.0,-1.07,9.18,-1.45,0.12,-0.43,0.02,0.31,-6.75,-0.06,0.06,-7.0,-98.69,0.65,0.75,0.09,0.0
6203.0,0.01,9.4,-0.25,0.28,-0.38,0.03,-1.56,-2.5,2.13,0.44,-1.56,-91.69,0.7,0.72,0.02,0.0,-1.14,9.24,-1.31,0.05,-0.37,0.15,-0.63,-5.31,0.0,0.31,-7.0,-98.69,0.65,0.75,0.09,0.0
6256.0,0.07,9.38,-0.24,0.31,-0.41,0.03,-1.44,-5.25,2.38,0.5,-1.38,-91.63,0.7,0.72,0.01,0.0,-1.04,9.17,-1.39,0.14,-0.44,0.06,-0.13,-6.44,1.38,0.56,-7.0,-98.63,0.65,0.75,0.09,0.0
6308.0,0.26,9.31,-0.13,0.47,-0.48,0.12,-1.63,-2.06,1.88,0.5,-1.19,-91.56,0.7,0.72,0.01,0.0,-0.67,9.23,-1.33,0.52,-0.36,0.14,-1.06,-3.94,0.5,0.81,-6.94,-98.56,0.65,0.75,0.09,0.0
6362.0,0.12,9.34,-0.19,0.24,-0.42,0.02,-0.69,-2.06,0.19,0.44,-1.06,-91.44,0.7,0.72,0.01,0.0,-0.83,9.24,-1.4,0.32,-0.38,0.03,-0.63,-2.88,2.5,0.63,-6.75,-98.5,0.65,0.75,0.09,0.0
6413.0,0.06,9.39,-0.14,0.24,-0.41,0.1,-0.31,-2.69,-0.56,0.5,-1.0,-91.44,0.7,0.72,0.01,0.0,-0.83,9.26,-1.31,0.29,-0.37,0.11,-0.63,-2.88,2.75,0.63,-6.63,-98.44,0.65,0.75,0.08,0.0
6463.0,-0.14,9.38,-0.21,0.02,-0.41,0.03,-1.06,-0.69,-0.06,0.5,-1.0,-91.38,0.7,0.72,0.01,0.0,-0.9,9.18,-1.41,0.2,-0.44,0.01,-0.5,-3.38,1.25,0.56,-6.5,-98.44,0.65,0.75,0.08,0.0
6514.0,0.12,9.39,-0.19,0.29,-0.4,0.03,-1.19,-1.63,0.25,0.56,-0.94,-91.31,0.7,0.72,0.01,0.0,-0.92,9.19,-1.31,0.18,-0.44,0.11,-0.94,-0.56,1.13,0.63,-6.44,-98.38,0.65,0.75,0.08,0.0
6564.0,0.07,9.39,-0.13,0.23,-0.41,0.08,-0.69,-1.38,0.19,0.56,-0.88,-91.25,0.7,0.72,0.01,0.0,-0.9,9.24,-1.32,0.18,-0.39,0.09,-0.75,-1.94,0.63,0.63,-6.38,-98.31,0.65,0.75,0.08,0.0
6618.0,-0.04,9.36,-0.18,0.1,-0.43,0.02,-0.5,-0.88,0.31,0.63,-0.88,-91.25,0.7,0.71,0.01,0.0,-0.82,9.18,-1.32,0.25,-0.45,0.09,-0.13,-0.56,0.56,0.56,-6.31,-98.31,0.65,0.75,0.08,0.0
6672.0,0.01,9.38,-0.18,0.09,-0.42,0.02,-0.44,0.31,0.19,0.56,-0.81,-91.25,0.7,0.71,0.01,0.0,-0.86,9.22,-1.31,0.17,-0.44,0.12,0.0,-0.38,0.0,0.5,-6.31,-98.31,0.65,0.75,0.08,0.0
6723.0,0.22,9.36,-0.06,0.36,-0.44,0.14,-0.63,0.19,0.25,0.56,-0.75,-91.19,0.7,0.71,0.01,0.0,-0.67,9.27,-1.23,0.39,-0.36,0.16,-0.5,0.25,-0.81,0.44,-6.25,-98.25,0.65,0.75,0.08,0.0
6775.0,-0.06,9.35,-0.22,0.06,-0.45,-0.01,0.38,1.44,-0.75,0.44,-0.69,-91.13,0.7,0.71,0.01,0.0,-0.99,9.18,-1.33,0.07,-0.46,0.06,0.63,2.19,0.06,0.38,-6.19,-98.25,0.65,0.75,0.08,0.0
6827.0,0.08,9.38,-0.12,0.21,-0.42,0.07,0.06,-0.5,-0.19,0.44,-0.69,-91.13,0.7,0.71,0.01,0.0,-0.81,9.24,-1.24,0.25,-0.4,0.15,-0.19,0.38,-1.38,0.31,-6.19,-98.25,0.65,0.75,0.08,0.0
6880.0,0.07,9.37,-0.17,0.13,-0.45,0.06,0.5,1.13,-0.75,0.38,-0.69,-91.13,0.7,0.71,0.01,0.0,-0.84,9.22,-1.34,0.2,-0.43,0.12,0.5,0.75,-0.81,0.31,-6.25,-98.25,0.65,0.75,0.08,0.0
6933.0,0.0,9.39,-0.2,0.11,-0.41,0.0,0.63,0.88,-0.75,0.31,-0.69,-91.13,0.7,0.71,0.01,0.0,-0.96,9.23,-1.32,0.05,-0.44,0.0,0.88,1.38,-0.75,0.25,-6.25,-98.25,0.65,0.75,0.08,0.0
6983.0,0.03,9.4,-0.19,0.15,-0.39,0.01,0.31,0.0,-0.44,0.31,-0.69,-91.19,0.7,0.71,0.01,0.0,-0.88,9.24,-1.33,0.19,-0.37,0.1,0.06,-0.25,-1.25,0.25,-6.25,-98.25,0.65,0.75,0.08,0.0
7034.0,0.05,9.35,-0.17,0.17,-0.45,0.03,0.81,1.25,-0.88,0.25,-0.69,-91.19,0.7,0.71,0.01,0.0,-0.91,9.19,-1.35,0.16,-0.45,0.05,0.75,0.75,-1.06,0.25,-6.31,-98.31,0.65,0.75,0.08,0.0
7087.0,-0.04,9.38,-0.21,0.07,-0.42,0.0,0.75,0.13,-0.44,0.25,-0.69,-91.19,0.7,0.71,0.01,0.0,-1.07,9.23,-1.41,0.01,-0.4,0.0,1.19,0.44,-1.0,0.31,-6.38,-98.31,0.65,0.75,0.08,0.0
7142.0,-0.13,9.42,-0.21,0.09,-0.4,-0.03,-0.25,-0.75,0.44,0.25,-0.69,-91.25,0.7,0.71,0.01,0.0,-1.02,9.24,-1.43,0.13,-0.39,-0.03,0.38,-2.0,-1.44,0.5,-6.44,-98.31,0.65,0.75,0.08,0.0
7195.0,-0.05,9.38,-0.21,0.05,-0.42,0.0,-0.31,0.5,0.56,0.19,-0.63,-91.25,0.7,0.71,0.01,0.0,-1.02,9.2,-1.37,0.13,-0.45,-0.01,0.5,-0.44,-1.5,0.63,-6.5,-98.31,0.65,0.75,0.08,0.0
7246.0,0.06,9.37,-0.27,0.17,-0.43,-0.05,-0.13,-0.75,0.75,0.19,-0.56,-91.25,0.7,0.71,0.01,0.0,-1.02,9.18,-1.36,0.1,-0.44,0.05,0.5,-2.13,-1.69,0.75,-6.56,-98.31,0.65,0.75,0.08,0.0
7298.0,0.21,9.33,-0.15,0.3,-0.46,0.06,0.38,-1.69,0.13,0.25,-0.56,-91.25,0.7,0.71,0.01,0.0,-0.79,9.23,-1.32,0.33,-0.39,0.09,-0.19,-2.31,-1.25,0.94,-6.63,-98.31,0.65,0.75,0.08,-0.01
7350.0,0.06,9.37,-0.22,0.15,-0.42,-0.01,0.13,0.31,-1.31,0.25,-0.5,-91.19,0.7,0.71,0.01,0.0,-1.03,9.19,-1.36,0.09,-0.43,0.05,0.5,-1.38,0.31,0.94,-6.63,-98.31,0.65,0.75,0.08,-0.01
7402.0,-0.08,9.42,-0.22,0.01,-0.36,0.01,-0.06,-1.69,-0.5,0.31,-0.56,-91.19,0.7,0.71,0.01,0.0,-1.08,9.21,-1.35,0.05,-0.41,0.05,0.25,-2.19,0.31,1.06,-6.63,-98.31,0.65,0.75,0.08,-0.01
7454.0,0.03,9.4,-0.19,0.13,-0.39,0.01,-0.5,-1.06,-0.13,0.44,-0.56,-91.19,0.7,0.71,0.0,0.0,-1.02,9.19,-1.39,0.2,-0.4,0.01,-0.38,-0.88,-0.31,1.13,-6.63,-98.31,0.65,0.75,0.08,-0.01
7507.0,0.05,9.38,-0.15,0.14,-0.42,0.06,-0.19,-0.31,-0.38,0.38,-0.5,-91.19,0.7,0.71,0.0,0.0,-1.01,9.26,-1.26,0.12,-0.37,0.13,-0.75,-0.88,-0.19,1.19,-6.63,-98.25,0.65,0.75,0.08,-0.01
7564.0,-0.08,9.39,-0.22,0.01,-0.4,-0.01,-0.06,-1.25,-0.56,0.44,-0.5,-91.19,0.7,0.71,0.0,0.0,-1.04,9.16,-1.42,0.14,-0.45,-0.07,0.56,-0.38,0.13,1.13,-6.63,-98.31,0.65,0.75,0.08,-0.01
7617.0,0.05,9.42,-0.2,0.14,-0.37,0.01,-0.44,0.63,0.06,0.44,-0.5,-91.19,0.7,0.71,0.0,0.0,-1.13,9.2,-1.29,0.0,-0.43,0.12,0.69,2.94,0.06,1.13,-6.63,-98.31,0.65,0.75,0.08,-0.01
7668.0,-0.06,9.36,-0.22,0.02,-0.44,0.0,-0.5,-0.75,0.38,0.44,-0.5,-91.19,0.7,0.71,0.0,0.0,-0.9,9.23,-1.37,0.23,-0.4,0.03,-1.0,-1.31,-0.5,1.13,-6.63,-98.31,0.65,0.75,0.08,-0.01
7721.0,0.11,9.42,-0.14,0.11,-0.42,0.04,-0.06,-0.06,-0.25,0.38,-0.5,-91.19,0.7,0.71,0.0,0.0,-0.98,9.22,-1.32,0.14,-0.41,0.07,0.94,-0.44,0.75,1.06,-6.56,-98.25,0.65,0.75,0.08,-0.01
7773.0,0.07,9.42,-0.19,0.17,-0.4,-0.06,-0.75,-0.38,-0.44,0.38,-0.44,-91.19,0.7,0.71,0.0,0.0,-0.95,9.19,-1.32,0.16,-0.44,0.07,-1.06,0.5,0.0,1.13,-6.56,-98.25,0.65,0.75,0.08,-0.01
7824.0,0.01,9.34,-0.14,0.1,-0.45,0.06,-0.38,-0.75,0.13,0.38,-0.44,-91.19,0.7,0.71,0.0,0.0,-1.0,9.22,-1.31,0.12,-0.41,0.08,-1.06,-0.44,-0.44,1.13,-6.56,-98.19,0.65,0.75,0.08,-0.01
7876.0,-0.07,9.37,-0.2,0.0,-0.43,0.0,-0.06,0.38,-0.25,0.31,-0.44,-91.19,0.7,0.71,0.0,0.0,-1.07,9.22,-1.36,0.05,-0.41,0.02,0.38,-1.06,0.44,1.06,-6.56,-98.19,0.65,0.75,0.08,-0.01
7930.0,0.05,9.38,-0.19,0.18,-0.44,0.04,-0.13,-0.75,0.0,0.38,-0.44,-91.19,0.7,0.71,0.0,0.0,-0.94,9.24,-1.24,0.18,-0.4,0.13,-1.0,-0.81,0.38,1.13,-6.56,-98.19,0.66,0.75,0.08,-0.01
7985.0,-0.08,9.37,-0.19,0.0,-0.42,0.0,0.31,-0.56,-0.25,0.38,-0.44,-91.19,0.7,0.71,0.0,0.0,-1.06,9.18,-1.32,0.07,-0.43,0.0,0.56,-0.25,0.88,1.13,-6.5,-98.19,0.66,0.75,0.08,-0.01
8038.0,0.06,9.39,-0.18,0.14,-0.41,0.02,-0.13,-0.38,0.5,0.44,-0.44,-91.19,0.7,0.71,0.0,0.0,-1.01,9.22,-1.31,0.1,-0.41,0.07,0.25,0.44,0.38,1.19,-6.5,-98.19,0.66,0.75,0.08,-0.01
8092.0,-0.01,9.35,-0.18,0.08,-0.43,0.02,-0.13,-1.06,0.56,0.44,-0.44,-91.19,0.7,0.71,0.0,0.0,-0.99,9.21,-1.31,0.12,-0.42,0.07,-0.5,-1.44,0.13,1.25,-6.5,-98.13,0.66,0.75,0.08,-0.01
